subtree_id	inferred-true-rf	inferred-init-rf	init-true-rf
9885	0.0	1.0	1.0
18078	0.0	0.0	0.0
18089	0.0	0.5	0.5
18092	0.0	0.5	0.5
9901	0.0	0.5	0.5
18094	0.0	0.0	0.0
9904	0.0	0.0	0.0
18097	0.0	0.5	0.5
9908	0.0	0.0	0.0
9912	0.0	0.0	0.0
9915	0.0	1.0	1.0
9917	0.0	0.0	0.0
9918	0.0	1.0	1.0
18118	0.0	0.0	0.0
1735	1.0	1.0	0.5
1736	1.0	1.0	0.0
1743	0.0	0.0	0.0
1751	0.5	1.0	0.5
18142	0.0	1.0	1.0
1760	0.0	0.0	0.0
1762	0.0	1.0	1.0
1763	0.0	1.0	1.0
1764	0.5	0.0	0.5
9957	0.0	0.5	0.5
18156	0.0	0.0	0.0
1793	0.0	0.5	0.5
9985	0.0	0.5	0.5
18181	0.0	0.0	0.0
1799	0.0	0.5	0.5
9992	0.5	0.0	0.5
1803	0.0	0.5	0.5
9997	0.0	0.5	0.5
1811	0.0	0.5	0.5
1817	0.0	1.0	1.0
10016	0.0	1.0	1.0
18208	0.0	0.5	0.5
1827	0.0	0.5	0.5
1829	0.0	0.0	0.5
18223	1.0	1.0	0.0
18226	0.0	0.5	0.5
18228	0.0	1.0	1.0
18229	0.0	0.0	0.0
18231	0.0	0.5	0.5
10041	0.0	0.0	0.0
1853	0.5	0.5	0.0
18238	1.0	1.0	0.0
1855	0.5	0.5	0.0
10056	0.5	1.0	0.5
18250	0.0	0.5	0.5
1869	0.0	1.0	1.0
10061	0.0	0.0	0.0
18260	0.5	0.5	0.0
18272	0.0	1.0	1.0
1896	0.0	0.5	0.5
18280	0.0	0.5	0.5
1900	0.0	0.0	0.0
10094	0.5	1.0	1.0
1907	1.0	1.0	0.0
18291	1.0	1.0	0.0
1909	0.5	0.5	0.0
18298	0.0	1.0	1.0
10107	0.0	0.5	0.5
1918	0.0	1.0	1.0
10113	1.0	1.0	0.0
1926	0.0	0.5	0.5
18310	0.5	1.0	1.0
18312	0.0	1.0	1.0
1931	0.0	0.5	0.5
1932	0.0	0.0	0.0
10124	0.0	0.5	0.5
1934	0.0	0.5	0.5
1940	0.0	0.5	0.5
10137	1.0	0.0	1.0
18330	1.0	1.0	0.5
18334	1.0	1.0	0.5
10146	0.0	0.0	0.0
10148	0.0	0.5	0.5
10151	0.0	0.0	0.0
18344	1.0	1.0	0.0
18345	0.0	0.5	0.5
10161	0.5	0.5	1.0
1970	0.0	0.0	0.0
1971	0.0	0.5	0.5
10162	0.0	0.0	0.0
10168	0.0	0.0	0.0
18361	0.0	0.5	0.5
1981	0.0	1.0	1.0
10174	0.0	0.5	0.5
10177	0.0	0.0	0.0
10178	0.0	0.5	0.5
1987	0.0	0.5	0.5
10182	0.5	1.0	1.0
1991	0.0	0.5	0.5
18379	0.0	0.5	0.5
10189	0.0	0.0	0.5
18382	0.0	0.0	0.0
1999	0.0	0.0	0.0
18385	0.5	0.5	0.0
18396	0.0	0.0	0.5
18397	1.0	0.5	1.0
10210	0.0	0.5	0.5
18411	0.0	0.5	0.5
2028	0.0	0.0	0.0
10223	0.0	0.5	0.5
18417	0.0	0.5	0.5
2034	1.0	1.0	0.0
10226	0.0	0.0	0.0
10231	0.0	0.0	0.0
10234	0.0	0.0	0.0
18428	0.0	0.0	0.0
10239	0.0	0.0	0.0
18432	1.0	1.0	0.5
2049	1.0	1.0	0.0
2050	0.0	0.0	0.0
2051	0.5	0.5	0.0
18436	0.0	0.5	0.5
18438	0.0	1.0	1.0
10249	0.0	0.5	0.5
18441	0.0	1.0	1.0
18445	0.0	0.5	0.5
10254	1.0	0.5	1.0
18447	0.0	0.0	0.0
2065	0.0	0.0	0.0
18450	0.0	0.0	0.0
2072	0.0	0.0	0.0
18459	0.0	0.0	0.0
10268	1.0	1.0	0.5
18461	0.5	0.0	0.5
2080	0.5	1.0	1.0
2083	0.0	0.0	0.0
18487	0.0	0.0	0.0
18488	0.0	0.5	0.5
2106	0.0	0.0	0.0
2107	0.0	0.5	0.5
2114	0.0	1.0	1.0
2117	0.0	0.5	0.5
2121	1.0	1.0	0.5
10315	0.0	0.0	0.0
2126	0.0	0.5	0.5
10321	0.0	0.0	0.0
18517	0.0	0.5	0.5
10327	0.5	0.5	0.5
18521	0.0	0.0	0.0
2138	0.0	0.0	0.0
2140	0.0	0.5	0.5
18526	0.0	0.5	0.5
2144	1.0	0.5	1.0
10341	0.0	0.0	0.0
10345	0.0	0.5	0.5
18541	0.0	0.5	0.5
18547	1.0	1.0	0.0
10358	0.0	1.0	1.0
10362	1.0	1.0	1.0
18565	0.0	0.0	0.0
10381	0.5	0.0	0.5
18573	0.0	0.5	0.5
2191	0.0	1.0	1.0
10383	0.0	0.0	0.0
2193	0.0	0.0	0.0
2194	0.0	1.0	1.0
18575	0.5	0.5	0.0
2199	0.0	0.5	0.5
2201	1.0	1.0	1.0
10396	0.0	0.5	0.5
10397	0.0	0.0	0.0
18589	0.0	0.0	0.0
18590	0.0	1.0	1.0
18597	1.0	1.0	0.0
2220	1.0	1.0	0.5
18609	0.0	0.5	0.5
10427	1.0	1.0	0.5
10434	0.0	0.0	0.0
2244	0.0	0.0	0.0
18640	0.0	0.5	0.5
10454	0.0	0.0	0.0
10458	0.0	0.5	0.5
18650	0.0	1.0	1.0
2279	0.0	0.5	0.5
18665	0.0	0.0	0.0
10479	1.0	1.0	0.0
2290	0.5	0.5	0.0
10489	1.0	1.0	1.0
10493	0.0	0.0	0.0
18707	0.0	1.0	1.0
10519	0.0	0.0	0.0
2328	0.0	1.0	1.0
18712	0.5	0.5	0.0
18713	0.0	0.5	0.5
10527	1.0	1.0	0.5
2337	0.0	0.0	0.0
2344	1.0	1.0	1.0
10536	0.5	0.5	0.5
10542	0.5	0.0	0.5
2354	0.0	0.0	0.0
2357	1.0	1.0	0.5
10553	0.0	0.5	0.5
10555	0.0	0.5	0.5
10556	0.0	0.0	0.0
2366	0.0	0.5	0.5
2369	0.0	0.0	0.0
18754	0.0	0.0	0.0
18756	0.0	1.0	1.0
10569	0.0	0.5	0.5
2383	0.0	0.5	0.5
2386	0.0	0.0	0.0
18778	0.0	1.0	1.0
2397	0.0	0.5	0.5
10590	0.0	1.0	1.0
18788	0.0	0.0	0.0
2422	1.0	1.0	0.0
10617	0.0	0.5	0.5
10618	1.0	1.0	0.0
2428	0.5	0.5	1.0
2429	0.0	1.0	1.0
2431	1.0	1.0	0.0
18817	0.0	1.0	1.0
2434	1.0	1.0	0.5
10628	0.5	0.0	0.5
