family	init-inferred-rf	init-true-rf	inferred-true-rf
PF01272	0.9868421052631579	0.631578947368421	0.9736842105263158
PF10543	0.9578947368421052	0.4105263157894737	0.968421052631579
PF19054	0.9672131147540983	0.9016393442622951	0.9672131147540983
PF25595	0.9130434782608695	0.41304347826086957	0.9239130434782609
PF19364	0.9523809523809523	0.2698412698412698	0.9365079365079365
PF22391	0.9365079365079365	0.19047619047619047	0.9365079365079365
PF00024	0.9404761904761905	0.6904761904761905	0.9523809523809523
PF21645	0.8811881188118812	0.5148514851485149	0.8910891089108911
PF11844	0.9583333333333334	0.625	0.9375
PF14803	0.9193548387096774	0.7580645161290323	0.9032258064516129
PF07732	0.8947368421052632	0.47368421052631576	0.9078947368421053
PF07870	0.8970588235294118	0.5147058823529411	0.9117647058823529
PF17123	0.9532710280373832	0.7850467289719626	0.9439252336448598
PF12437	0.9558823529411765	0.4485294117647059	0.9485294117647058
PF20080	0.9769230769230769	0.7692307692307693	0.9692307692307692
PF00345	0.8888888888888888	0.49206349206349204	0.873015873015873
PF09548	0.958904109589041	0.6232876712328768	0.952054794520548
PF00440	0.9154929577464789	0.676056338028169	0.9154929577464789
PF21998	0.9240506329113924	0.5131578947368421	0.881578947368421
PF02560	0.8627450980392157	0.5294117647058824	0.9411764705882353
PF18400	0.9318181818181818	0.5454545454545454	0.9318181818181818
PF21848	0.9894736842105263	0.6526315789473685	0.9789473684210527
PF20024	0.92	0.56	0.9
PF22273	0.8870967741935484	0.5084745762711864	0.8983050847457628
PF24565	0.9714285714285714	0.6285714285714286	0.9857142857142858
PF08079	0.952755905511811	0.5118110236220472	0.9606299212598425
PF07508	0.9841269841269841	0.9206349206349206	0.9841269841269841
PF05267	0.9491525423728814	0.423728813559322	0.9152542372881356
PF23052	0.9607843137254902	0.6078431372549019	0.9215686274509803
PF00725	0.9193548387096774	0.4032258064516129	0.9516129032258065
PF18556	0.9245283018867925	0.49056603773584906	0.8301886792452831
PF09972	0.925	0.5125	0.95
PF10406	0.9423076923076923	0.6442307692307693	0.9230769230769231
PF11138	0.9596774193548387	0.4274193548387097	0.967741935483871
PF12953	0.9344262295081968	0.45901639344262296	0.9508196721311475
PF03144	0.9560439560439561	0.554945054945055	0.945054945054945
PF08032	0.9523809523809523	0.6428571428571429	0.9761904761904762
PF24620	0.945054945054945	0.6263736263736264	0.945054945054945
PF25052	0.9411764705882353	0.4117647058823529	0.9411764705882353
PF15609	0.9583333333333334	0.3333333333333333	0.9791666666666666
PF18145	0.972972972972973	0.5135135135135135	0.972972972972973
PF02050	0.9310344827586207	0.5517241379310345	0.9310344827586207
PF12505	0.9814814814814815	0.4444444444444444	0.9629629629629629
PF23415	0.9016393442622951	0.29508196721311475	0.9180327868852459
PF13926	0.9402985074626866	0.44776119402985076	0.9552238805970149
PF14864	0.925	0.5625	0.925
PF05284	0.9402985074626866	0.417910447761194	0.9402985074626866
PF14127	0.8518518518518519	0.25925925925925924	0.8888888888888888
PF19801	0.96875	0.625	0.9375
PF00642	0.9701492537313433	0.7611940298507462	0.9701492537313433
PF21825	0.9586206896551724	0.7241379310344828	0.9655172413793104
PF13155	0.9459459459459459	0.5405405405405406	0.9459459459459459
PF08170	0.9844961240310077	0.5813953488372093	0.9689922480620154
