	subtree_id	inferred-true-rf	inferred-init-rf	init-true-rf
256	1229	0.0	0.5	0.5
257	123	0.0	1.0	1.0
258	1230	0.5	0.0	0.5
259	1231	0.0	0.5	0.5
260	1232	1.0	1.0	0.5
261	1233	0.0	1.0	1.0
262	1234	0.0	0.0	0.0
263	1235	1.0	1.0	0.0
264	1236	0.5	1.0	1.0
265	1237	0.0	0.0	0.0
266	1238	0.0	0.5	0.5
267	1239	0.0	1.0	1.0
268	124	0.0	0.0	0.0
269	1240	0.0	1.0	1.0
270	1241	0.0	0.0	0.0
271	1242	0.0	0.0	0.0
272	1243	0.5	0.5	0.0
273	1244	0.0	0.5	0.5
274	1245	0.5	0.0	0.5
275	1246	0.0	0.0	0.0
276	1247	1.0	1.0	0.5
277	1248	0.0	0.5	0.5
278	1249	0.0	1.0	1.0
279	125	0.5	0.0	0.5
280	1250	0.0	0.0	0.0
281	1251	0.0	0.0	0.0
282	1252	1.0	1.0	0.5
283	1253	0.0	0.0	0.0
284	1254	0.0	1.0	1.0
285	1255	0.0	0.5	0.5
286	1256	0.0	0.5	0.5
287	1257	0.0	0.0	0.0
288	1258	0.0	0.0	0.0
289	1259	0.0	0.0	0.0
290	126	0.5	0.0	0.5
291	1260	0.0	0.0	0.0
292	1261	0.5	0.5	0.0
293	1262	0.5	0.0	0.5
294	1263	0.0	0.5	0.5
295	1264	0.0	0.0	0.0
296	1265	1.0	1.0	0.5
297	1266	0.5	0.5	1.0
298	1267	0.0	0.5	0.5
299	1268	0.0	0.0	0.0
300	1269	0.0	0.0	0.0
301	127	0.5	0.5	0.0
302	1270	0.0	0.0	0.0
303	1271	0.0	0.0	0.0
304	1272	0.5	0.0	0.5
305	1273	1.0	1.0	1.0
306	1274	0.0	0.0	0.0
307	1275	0.5	1.0	1.0
308	1276	0.0	0.5	0.5
309	1277	0.5	1.0	1.0
310	1278	0.5	0.5	0.5
311	1279	0.0	1.0	1.0
312	128	0.0	1.0	1.0
313	1280	0.0	0.0	0.0
314	1281	0.0	0.5	0.5
315	1282	0.5	1.0	0.5
316	1283	0.0	1.0	1.0
317	1284	0.0	0.5	0.5
318	1285	0.0	1.0	1.0
319	1286	0.0	0.5	0.5
320	1287	0.0	0.5	0.5
321	1288	0.0	0.0	0.0
322	1289	1.0	0.5	1.0
323	129	0.5	0.0	0.5
324	1290	0.0	0.0	0.0
325	1291	0.0	0.0	0.0
326	1292	0.0	1.0	1.0
327	1293	0.0	0.5	0.5
328	1294	0.0	0.5	0.5
329	1295	0.0	1.0	1.0
330	1296	0.0	0.0	0.0
331	1297	0.5	0.5	0.5
332	1298	0.0	0.5	0.5
333	1299	0.0	0.5	0.5
334	13	0.0	0.0	0.0
335	130	0.0	1.0	1.0
336	1300	0.0	1.0	1.0
337	1301	0.5	1.0	1.0
338	1302	0.0	1.0	1.0
339	1303	0.5	0.0	0.5
340	1304	0.0	0.0	0.0
341	1305	1.0	0.0	1.0
342	1306	0.0	1.0	1.0
343	1307	0.5	0.5	0.0
344	1308	0.0	0.5	0.5
345	1309	0.5	0.0	0.5
346	131	0.0	1.0	1.0
347	1310	0.0	0.5	0.5
348	1311	0.0	0.0	0.0
349	1312	0.0	0.0	0.0
350	1313	0.0	1.0	1.0
351	1314	0.5	0.5	0.0
352	1315	0.5	0.0	0.5
353	1316	0.5	1.0	1.0
354	1317	0.0	0.5	0.5
355	1318	0.5	1.0	1.0
