	family	subtree_id	inferred-true-rf	inferred-init-rf	init-true-rf
279	PF00004	9132	0.0	0.5	0.5
280	PF00004	17328	0.0	1.0	1.0
281	PF00004	17335	0.0	0.5	0.5
282	PF00004	952	0.0	0.5	0.5
283	PF00004	17338	0.0	1.0	1.0
284	PF00004	9147	0.0	1.0	1.0
285	PF00004	956	0.0	0.0	0.0
286	PF00004	957	0.0	0.0	0.0
287	PF00004	17339	0.0	0.5	0.5
288	PF00004	17341	0.5	0.5	0.0
289	PF00004	9152	0.5	0.5	0.0
290	PF00004	17344	0.0	0.5	0.5
291	PF00004	9156	0.0	0.0	0.0
292	PF00004	17348	0.0	0.0	0.0
293	PF00004	17351	0.0	0.5	0.5
294	PF00004	969	0.0	0.5	0.5
295	PF00004	9161	0.0	1.0	1.0
296	PF00004	975	0.0	1.0	1.0
297	PF00004	17365	0.0	0.5	0.5
298	PF00004	17369	1.0	1.0	1.0
299	PF00004	17371	0.0	0.0	0.0
300	PF00004	988	0.0	0.0	0.0
301	PF00004	989	0.0	1.0	1.0
302	PF00004	9182	0.0	0.0	0.0
303	PF00004	9185	0.0	0.5	0.5
304	PF00004	996	0.0	0.5	0.5
305	PF00004	1001	0.0	0.0	0.0
306	PF00004	1008	0.0	0.0	0.0
307	PF00004	9201	0.0	0.0	0.0
308	PF00004	9205	0.0	0.0	0.0
309	PF00004	17397	0.0	0.0	0.0
310	PF00004	9207	0.0	0.5	0.5
311	PF00004	1016	0.0	0.5	0.5
312	PF00004	1017	0.0	0.0	0.0
313	PF00004	9208	1.0	1.0	1.0
314	PF00004	9209	0.0	0.5	0.5
315	PF00004	1022	0.5	0.5	0.0
316	PF00004	9219	0.0	0.5	0.5
317	PF00004	17413	0.0	0.0	0.0
318	PF00004	17425	0.0	0.5	0.5
319	PF00004	17430	0.0	0.5	0.5
320	PF00004	17433	0.0	0.5	0.5
321	PF00004	17435	0.0	1.0	1.0
322	PF00004	1059	0.0	0.5	0.5
323	PF00004	1060	0.0	0.5	0.5
324	PF00004	1061	0.0	1.0	1.0
325	PF00004	1063	0.0	0.0	0.0
326	PF00004	17448	0.0	0.0	0.0
327	PF00004	17450	0.0	0.5	0.5
328	PF00004	17451	0.0	0.5	0.5
329	PF00004	17454	0.0	0.5	0.5
330	PF00004	17457	0.0	0.0	0.0
331	PF00004	9269	0.0	0.0	0.0
332	PF00004	17462	0.0	0.0	0.0
333	PF00004	1082	0.0	0.0	0.0
334	PF00004	17483	0.0	0.0	0.0
