family	subtree_id	inferred-true-rf	inferred-init-rf	init-true-rf
PF00004	16617	0.875	0.875	0.5416666666666666
PF00004	236	0.8541666666666666	0.8541666666666666	0.5625
PF00004	237	0.8958333333333334	0.8958333333333334	0.5416666666666666
PF00004	8428	0.8958333333333334	0.9166666666666666	0.5416666666666666
PF00004	8429	0.8333333333333334	0.875	0.625
PF00004	8430	0.875	0.875	0.5
PF00004	8434	0.9375	0.9583333333333334	0.5833333333333334
PF00004	8437	0.9583333333333334	0.9791666666666666	0.6666666666666666
PF00004	16634	0.8333333333333334	0.8541666666666666	0.5833333333333334
PF00004	16640	0.9375	0.9375	0.5
PF00004	16645	0.8958333333333334	0.8958333333333334	0.5
PF00004	16647	0.7916666666666666	0.8125	0.5625
PF00004	16654	0.875	0.8541666666666666	0.4791666666666667
PF00004	272	0.9375	0.9375	0.5
PF00004	8468	0.8541666666666666	0.9166666666666666	0.5208333333333334
PF00004	16662	0.9375	0.9375	0.5
PF00004	8473	0.9166666666666666	0.875	0.4791666666666667
PF00004	282	0.8333333333333334	0.8333333333333334	0.5416666666666666
PF00004	16670	0.8541666666666666	0.9166666666666666	0.6041666666666666
PF00004	295	0.9166666666666666	0.9375	0.5
PF00004	302	0.9166666666666666	0.9166666666666666	0.5416666666666666
PF00004	303	0.875	0.9166666666666666	0.5625
PF00004	16691	0.9166666666666666	0.9166666666666666	0.3958333333333333
PF00004	8503	0.9375	0.9791666666666666	0.625
PF00004	16702	0.9166666666666666	0.9583333333333334	0.5833333333333334
PF00004	8513	0.875	0.9375	0.6458333333333334
PF00004	8520	0.9375	0.9583333333333334	0.4583333333333333
PF00004	16714	0.8125	0.8333333333333334	0.4791666666666667
PF00004	8530	0.8958333333333334	0.9375	0.5625
PF00004	339	0.9375	0.9375	0.3958333333333333
PF00004	16725	0.8333333333333334	0.8541666666666666	0.5833333333333334
PF00004	8534	0.8958333333333334	0.8958333333333334	0.5
PF00004	16726	0.875	0.9375	0.625
PF00004	16730	0.8125	0.8125	0.5416666666666666
PF00004	353	0.8958333333333334	0.875	0.4583333333333333
PF00004	363	0.9375	0.9375	0.4375
PF00004	8556	0.9166666666666666	0.8958333333333334	0.4375
PF00004	16749	0.9166666666666666	0.9166666666666666	0.5833333333333334
PF00004	375	0.9166666666666666	0.9375	0.5625
PF00004	8568	0.875	0.9166666666666666	0.4583333333333333
PF00004	8572	0.8541666666666666	0.8541666666666666	0.5
PF00004	385	0.875	0.875	0.4375
PF00004	8578	0.9583333333333334	0.9375	0.5416666666666666
PF00004	8581	0.8125	0.875	0.5416666666666666
PF00004	16775	0.9166666666666666	0.9166666666666666	0.5416666666666666
PF00004	392	0.8333333333333334	0.8541666666666666	0.4583333333333333
PF00004	16780	0.8958333333333334	0.875	0.5416666666666666
PF00004	8593	0.9375	0.9583333333333334	0.5208333333333334
PF00004	8596	0.8125	0.8125	0.5
PF00004	405	0.9375	0.9583333333333334	0.6041666666666666
PF00004	407	0.7916666666666666	0.8125	0.6041666666666666
PF00004	8602	0.9375	0.9375	0.5416666666666666
PF00004	413	0.875	0.8958333333333334	0.5625
PF00004	418	0.8541666666666666	0.8958333333333334	0.4375
PF00004	420	0.8333333333333334	0.875	0.5416666666666666
PF00004	8634	0.9375	0.9375	0.4166666666666667
PF00004	8637	0.8958333333333334	0.8958333333333334	0.375
PF00004	8647	0.875	0.8958333333333334	0.5416666666666666
PF00004	16839	0.9375	0.9583333333333334	0.5833333333333334
PF00004	459	0.8541666666666666	0.8958333333333334	0.4375
